Name,W,H,File Type,Scale,File Name,Output Folder,
iOS Icons,,,,,,,
iPhoneSpotlight29pt,29,29,png,1,iPhoneSpotlight29pt_29x29.png,iOS_Icons,
iPhoneSpotlight29pt,58,58,png,2,iPhoneSpotlight29pt_29x29@2x.png,iOS_Icons,
iPhoneSpotlight29pt,87,87,png,3,iPhoneSpotlight29pt_29x29@3x.png,iOS_Icons,
iPhoneSpotlight40pt,40,40,png,1,iPhoneSpotlight40pt_40x40.png,iOS_Icons,
iPhoneSpotlight40pt,80,80,png,2,iPhoneSpotlight40pt_40x40@2x.png,iOS_Icons,
iPhoneSpotlight40pt,120,120,png,3,iPhoneSpotlight40pt_40x40@3x.png,iOS_Icons,
iPhoneApp60pt,60,60,png,1,iPhoneApp60pt_60x60.png,iOS_Icons,
iPhoneApp60pt,120,120,png,2,iPhoneApp60pt_60x60@2x.png,iOS_Icons,
iPhoneApp60pt,180,180,png,3,iPhoneApp60pt_60x60@3x.png,iOS_Icons,
iPadSettings29pt,29,29,png,1,iPadSettings29pt_29x29.png,iOS_Icons,
iPadSettings29pt,58,58,png,2,iPadSettings29pt_29x29@2x.png,iOS_Icons,
iPadSpotlight40pt,40,40,png,1,iPadSpotlight40pt_40x40.png,iOS_Icons,
iPadSpotlight40pt,80,80,png,2,iPadSpotlight40pt_40x40@2x.png,iOS_Icons,
iPadSpotlight50pt,50,50,png,1,iPadSpotlight50pt_50x50.png,iOS_Icons,
iPadSpotlight50pt,100,100,png,2,iPadSpotlight50pt_50x50@2x.png,iOS_Icons,
iPadApp72pt,72,72,png,1,iPadApp72pt_72x72.png,iOS_Icons,
iPadApp72pt,144,144,png,2,iPadApp72pt_72x72@2x.png,iOS_Icons,
iPadApp76pt,76,76,png,1,iPadApp76pt_76x76.png,iOS_Icons,
iPadApp76pt,152,152,png,2,iPadApp76pt_76x76@2x.png,iOS_Icons,
carPlay120pt,120,120,png,1,carPlay120pt_120x120.png,iOS_Icons,
,,,,,,,
,,,,,,,
iOS Launch Screens,,,,,,,
iPhonePortraitRetinaHD5.5,1242,2208,png,1,iPhonePortraitRetinaHD5.5_1242x2208.png,iOS_Launch,
iPhonePortraitRetinaHD4.7,750,1334,png,1,iPhonePortraitRetinaHD4.7_750x1334.png,iOS_Launch,
iPhoneLandscapeRetinaHD5.5,2208,1242,png,1,iPhoneLandscapeRetinaHD5.5_2208x1242.png,iOS_Launch,
iPhonePortrait,640,960,png,2,iPhonePortrait_320x480@2x.png,iOS_Launch,
iPhonePortraitR4,640,1136,png,1,iPhonePortraitR4_640x1136.png,iOS_Launch,
iPadPortrait,768,1024,png,1,iPadPortrait_768x1024.png,iOS_Launch,
iPadPortrait,1536,2048,png,2,iPadPortrait_768x1024@2x.png,iOS_Launch,
iPadLandscape,1024,768,png,1,iPadLandscape_1024x768.png,iOS_Launch,
iPadLandscape,1536,2048,png,2,iPadLandscape_768x1024@2x.png,iOS_Launch,
iPhonePortrait,320,480,png,1,iPhonePortrait_320x480.png,iOS_Launch,
iPhonePortrait,640,960,png,2,iPhonePortrait_320x480@2x.png,iOS_Launch,
iPhonePortraitR4,640,1136,png,1,iPhonePortraitR4_640x1136.png,iOS_Launch,
iPadPortraitWithoutStatusBar,768,1024,png,1,iPadPortraitWithoutStatusBar_768x1024.png,iOS_Launch,
iPadPortraitWithoutStatusBar,1536,2048,png,2,iPadPortraitWithoutStatusBar_768x1024@2x.png,iOS_Launch,
iPadPortrait,768,1004,png,1,iPadPortrait_768x1004.png,iOS_Launch,
iPadPortrait,1536,2008,png,2,iPadPortrait_768x1004@2x.png,iOS_Launch,
iPadLandscapeWithoutStatusBar,1024,768,png,1,iPadLandscapeWithoutStatusBar_1024x768.png,iOS_Launch,
iPadLandscapeWithoutStatusBar,2048,1536,png,2,iPadLandscapeWithoutStatusBar_1024x768@2x.png,iOS_Launch,
